D:\anaconda3\python.exe E:/zhangxirui/RAFT/train.py 
Namespace(name='raft-kitti', stage='kitti', restore_ckpt='checkpoints/raft-sintel.pth', small=False, validation=['kitti'], lr=0.0001, num_steps=120000, batch_size=8, image_size=[288, 960], gpus=[0], mixed_precision=True, iters=12, wdecay=1e-05, epsilon=1e-08, clip=1.0, dropout=0.0, gamma=0.85, add_noise=False)
Parameter Count: 10584674
Training with 200 image pairs
D:\anaconda3\lib\site-packages\torch\functional.py:445: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ..\aten\src\ATen\native\TensorShape.cpp:2157.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[  6400,  0.0000997]     0.8468,     0.9575,     0.9775,     0.8002, 
[  6500,  0.0000996]     0.8455,     0.9563,     0.9765,     0.8326, 
[  6600,  0.0000995]     0.8452,     0.9566,     0.9771,     0.8087, 
[  6700,  0.0000994]     0.8496,     0.9577,     0.9778,     0.7907, 
[  6800,  0.0000993]     0.8473,     0.9562,     0.9769,     0.8084, 
[  6900,  0.0000992]     0.8489,     0.9584,     0.9781,     0.7821, 
[  7000,  0.0000991]     0.8482,     0.9585,     0.9783,     0.7797, 
[  7100,  0.0000990]     0.8517,     0.9588,     0.9781,     0.7829, 
[  7200,  0.0000990]     0.8528,     0.9596,     0.9785,     0.7700, 
[  7300,  0.0000989]     0.8529,     0.9596,     0.9785,     0.7677, 
[  7400,  0.0000988]     0.8542,     0.9598,     0.9785,     0.7677, 
[  7500,  0.0000987]     0.8517,     0.9588,     0.9779,     0.7770, 
Validation KITTI: 0.960509, 3.005839
[  7600,  0.0000986]     0.8512,     0.9597,     0.9791,     0.7664, 
[  7700,  0.0000985]     0.8524,     0.9597,     0.9791,     0.7612, 
[  7800,  0.0000984]     0.8533,     0.9596,     0.9789,     0.7529, 
[  7900,  0.0000983]     0.8551,     0.9613,     0.9799,     0.7503, 
[  8000,  0.0000983]     0.8548,     0.9608,     0.9795,     0.7523, 
[  8100,  0.0000982]     0.8564,     0.9610,     0.9799,     0.7332, 
[  8200,  0.0000981]     0.8573,     0.9617,     0.9803,     0.7294, 
